participant_id,alpha,beta
JZXE2,0.8038529462574142,1.4558362638881075
U3HYL,0.8951070208078703,1.2939741135024425
6DPYL,0.07896793660922856,1.3599796157776682
4NDHY,0.8891741666276256,1.7541760805736017
B466E,0.03924001257314066,1.0924101098338168
E6C05,0.5550620709107412,0.9566377512200337
F1277,0.7635866371163555,0.9359155938717904
XHM1L,0.18587727494649312,1.2424569654160367
L89XW,0.028227342369279537,1.0915071771936753
ZJAY6,0.7584530260143846,2.1732789673755852
OP3DU,0.3449155077120094,1.1449300174192143
DKX7L,0.036409609340418536,1.1157965120247753
5L2YO,0.07864154802604874,1.2103841405665885
TCT2Q,0.23639569666709356,1.2049200916050997
0GG61,0.6930505083201861,0.899827846584944
66ATA,0.10475396810258253,1.251560921098537
2KEQY,0.31528402607076694,2.3524331969282355
H7XCH,0.12136262515882275,1.2901140676317704
CVQMQ,0.8740822195588627,1.1761820928405904
D2297,0.05886997700678542,1.1598643286408785
D1A08,0.07601463526172231,1.235423055974647
1SRXZ,0.7802090742208793,1.0399603181840964
1GDGT,0.8824361140905121,1.381922909924161
QTUE2,0.03270633737956178,1.0898719315374257
8TCMM,0.25145193787310965,1.2318362873016193
9DY7I,0.0442830551850741,1.1224116571395102
K3F0B,0.07819401661180675,1.188500806977928
35TKM,0.520382992309503,0.8769747260717359
HKS1J,0.8699189205816124,1.7172065812794661
O3P4O,0.8360629130269828,1.0871660369397527
I6X0O,0.07615621470817588,1.174556343704788
R7EQD,0.3586955358762192,1.032050082233681
M8ZK6,0.9232221114946155,1.3654613207821282
J813K,0.06536769280783086,1.1280793916067544
KOAT7,0.034988191131287316,1.1265895882165158
7Y3K3,0.7656433720850304,0.7226317921023703
ZK3UD,0.04925757918073401,1.143504113492809
DXDRP,0.7235562454414431,0.8921180858517496
41LUV,0.09964104886081471,1.1577262268736654
WYSEU,0.4374415397138207,0.8197458964755999
XKY36,0.5892270774665612,0.933033387298739
LI66P,0.8204516703846064,1.4670253180215005
I4039,0.7930550064445611,1.8410966239492754
9RU8K,0.0510846191652818,1.1755536281841628
MBN2S,0.8871595115967472,0.9707921043297423
JC446,0.49236549061960183,1.8606837960119167
S4KVU,0.7723106336787474,1.1500058573935752
1AR3D,0.8092517252454705,1.1413715177860069
9DB53,0.8608396112972962,2.103572948504647
PW2SP,0.11786061647182586,1.1538683161729495
Q1ZIB,0.08066456541831274,1.2371550119173067
GWZBQ,0.08259832965258795,1.0960255179475187
SMZVB,0.7727215974263665,1.417117346363805
IZYHD,0.6489808381465041,0.8730421849017538
EVMBS,0.5341717589332913,1.1115513543634254
VFQR1,0.8774123543811759,1.2032163575932515
L2D1C,0.8475432770733559,1.8434053414876734
PBOB1,0.15804828486118036,1.6409309697150198
PPAIO,0.17728632987696388,1.5772707044083367
FTJZ7,0.8170840215168628,0.7494709853986199
DJ5BU,0.8776388315393521,1.1704459570708525
0RHYB,0.7101598873149109,1.9146084827273786
Q3A3A,0.8110472168708134,1.3607566681392012
2POVK,0.45361780079774805,1.3766136303229726
S7SAG,0.85825626778065,1.4548351190149498
UDMEL,0.9039490613706893,1.4280143408270662
7EXI7,0.07133562288111893,1.3763149958422436
P1ZPF,0.9075514686501884,1.470921137191679
OVZWZ,0.22453499153518058,0.8828802363778518
IY7FM,0.7361727762724911,0.6543224273464758
502K9,0.2984848350615264,0.9132723854900793
5RUQS,0.29563183776942387,1.1040696497078872
2HF4P,0.7023818395176863,0.9755649349810448
O68IY,0.47505663679384386,1.3043174579140007
DMFJH,0.880025141215471,1.2607474148670768
ABDOQ,0.03503658333262468,1.1162918286923134
VXZNP,0.695128377351998,1.1909586139412938
W78XF,0.36418748007573293,1.3232804086650782
HC5I4,0.34270565766575756,1.2882922021137595
XPT9E,0.04342357775790393,1.0842262025148592
LDCYF,0.062163132582116754,1.2382050700725746
H0F56,0.1354565850414499,1.0610056584651348
8VOI9,0.821180766911255,1.0340061259715672
4V621,0.11035634241757178,1.1580548059619964
T5YX0,0.13284557526820942,2.3500354990693015
T5NW2,0.13363692970566288,1.0742107225918085
VA7XX,0.27391224561442495,0.9692263149028918
RQNEN,0.7533534666269658,1.133000592762571
SBTZA,0.08793257138511351,1.1602568366291224
UPQJ3,0.09989222421405648,1.2061495842491086
KTN0P,0.6356215661332177,1.4075934815044804
O0NDG,0.8618060559430201,0.9609175668731718
84I7P,0.5445269550733325,1.0266239295588742
6F23B,0.7167096588532033,1.5059938658610055
OTTAZ,0.5854592178426409,0.7922792610101483
W0ZZR,0.6651776281245645,1.057621604419356
QJ0BP,0.05527791020771868,1.160164949442385
U0CHP,0.920921992338374,1.5154460654008692
14UKF,0.9000119649864515,1.1071843365771734
UWK90,0.5528947710945071,1.036804706834397
2U1VD,0.04706341300392359,1.1288553764700187
SR4J8,0.5863223731261556,1.0229435374451543
R0OML,0.09979486004893351,1.0821782393700985
XCKAB,0.8061682761948249,0.9565379245073726
EDUIU,0.0952474915798074,1.1269149862913268
A9HCW,0.3001445265512507,1.175123594134618
EAD2E,0.08555699110161445,1.2648031899383876
MYLSD,0.8632372772262039,1.1830445687121816
HQE1Q,0.6302207901610405,1.0230514921386187
3QI5S,0.13266656106640107,1.170259938382184
BEGLQ,0.5154238756845787,1.419785693678195
AJKUD,0.823466298005824,1.0508842387794206
TU4VW,0.819625386213528,1.4862399993963347
H449V,0.09669390576578171,1.3750692039706782
Q2W8L,0.7437423547882286,1.0720831841500424
VCQO8,0.8475832438698215,1.2088038598797124
NPZQW,0.5184164131454454,0.9140380055210781
LCF03,0.9049939445901091,1.2076122317583198
BIG4F,0.9042076170586086,1.8829281557203439
HFFJD,0.5090057104012183,0.9091804624068677
F7I4C,0.13895002756860833,1.2115673048886462
V7LG7,0.13741551557022488,1.3100955550332936
2MZGN,0.03719656217522377,1.1148117120873289
DCHH5,0.8660176870232943,2.150235003639484
5QSO5,0.8672066665928169,1.3840042565707509
ZZCW3,0.9214397759065686,1.7297140518194174
HRXY4,0.8387037180146322,1.2235124131860238
137K2,0.8449613497028972,0.6609534684368861
99MGS,0.8020188717877375,0.9010718015275903
866VA,0.0729356495154466,1.251925008641508
D2JNN,0.9006660179260004,1.4518537794385746
NXIUQ,0.8623237208144039,1.1000495747032442
ZOGS6,0.8140919605039107,1.2340002267223362
0PP80,0.048503571974892794,1.1690618165072604
IC9FM,0.6595120737134826,1.5678194629386841
MXTJ5,0.5361975003342953,1.6667559536713488
SETLH,0.05378334109194726,1.184208680025824
M4V9H,0.7207522317167653,1.6834054835541712
GBITS,0.8578607567858179,0.7943270431948797
DUZXB,0.7880761815551791,1.1550375087746954
J77EZ,0.8858774392340257,2.2418857541042443
PD91I,0.9232058701487891,1.1708895259796817
L7UTX,0.8275414466374327,1.6175928228766001
HFPYX,0.6450191736772203,1.0118841050228247
7RNUF,0.14459761916352865,1.2009869259719614
D7Z0W,0.8069099607251348,0.7597884571299154
HA1DH,0.34329598789408544,1.0219536564656833
CZS3P,0.040466886293899,1.1369239099426038
6Q6XN,0.2526435086448059,1.519359781955228
I0PJL,0.8664312732303469,1.209421308307874
L69GJ,0.18767623363669778,1.248868957779738
QQEPL,0.14954434264154814,1.2605670166505514
Z5SQE,0.6795702531327149,1.3884142292726727
DH2BI,0.02821841538376791,1.0981350957684075
SPWXT,0.6062339907374791,0.9408790531251049
DXX0Y,0.03306450048620697,1.1209929088342327
MATCB,0.36001105199584427,1.1025582329216068
VWHW8,0.4556773004850353,0.7838277831965658
9P90S,0.11045504036375145,1.3222850993259523
I038P,0.8969127240172134,2.150921014125592
HU4MV,0.5628235118567781,1.3711318801767838
IBQOW,0.037191103285848494,1.1129555637397428
FNCOP,0.11322520011007814,1.1836630939289805
I6MAY,0.027072549075453263,1.0910925485378824
R929E,0.7594646201361643,0.6575297758088777
V1KG5,0.48279002034734897,1.02958481279747
AK0KP,0.07398891031530232,1.1968681335883529
KBU1L,0.17812831426772982,1.3166111540059786
MDI6B,0.06870347070806468,1.1470367187717483
YC4CP,0.10242871694117187,1.2831834951195327
BBKI6,0.8462656875197372,0.7758861201246107
Z4NG4,0.1657985003273866,1.2546972227659754
MEVVC,0.936301185059063,1.9741809549436289
E1LO2,0.05813806058465931,1.1115845597408673
44YB2,0.6506365041513391,0.7532693223866131
9QUIK,0.048071008992390724,1.1300054063683052
1XAVL,0.8306343867127739,0.9815428125201192
DC03E,0.11256643691525459,1.1771842404236035
P87VY,0.26614084921326464,1.7323029561358965
1WKFF,0.7769477390769907,1.513648322748369
9JUZ1,0.4419158395742606,0.9722761504330711
FPB2W,0.7715596987258138,1.0916677067575828
V6O92,0.22720958839618907,1.2736551514099317
8X46Z,0.3338154168010374,1.0255457863792787
47ZAD,0.822229464621869,1.0693971111722145
YJCSK,0.07368243731927863,1.0736414947306214
07ZMN,0.12349624131487999,1.110494850578177
EOVH6,0.07563116900475082,1.189891037117458
093RS,0.6940123430037173,1.133121874111611
ALBRS,0.714921619391191,0.979569651228277
88YX0,0.4773013177962289,1.0242359966977463
LZV7U,0.7027893628583569,1.214038239408023
CK94B,0.8163737945945897,1.6543140832256549
JCGCF,0.7799914726642617,1.2180192403655008
F3WE2,0.04248216527754238,1.1224223822464874
EHU5O,0.40449725025740296,0.8066128003366796
2RJSL,0.7505595350119697,1.4516578782749652
BZHXL,0.8327054788559759,1.1623822238298778
M33U9,0.843129963774215,1.4806425939501757
U0PNS,0.050793262482884106,1.1548569017536774
QK0L8,0.22225437258522399,1.5459995167956975
CQN7B,0.2531088631755262,1.3163498631826656
BO46G,0.8539601792779744,1.7131221710270748
PR941,0.7486066252791204,1.008631858550956
CUML2,0.03911998084232573,1.1438493025221363
11VEI,0.9057788181773683,1.7767106353924784
WMN0F,0.12220628295023611,1.2321846549406226
NNHLG,0.369134488711897,1.4199859842785965
YV8YX,0.8568200352102855,1.5324952097813753
LHJWI,0.8156032095987413,1.3994389477753897
6IB5H,0.8769523036546696,2.1340597883500485
BKOK3,0.3375385998466052,0.7589705204357161
ZQHO2,0.821678555979467,0.8647797106671039
GITPG,0.20723972029080387,1.4080813317883658
YW1NP,0.7435559791601676,1.6103248126424117
JFUPA,0.8932665501888629,1.0010011898774231
DJW6C,0.03214704242244216,1.1192013307276103
1YEJJ,0.950436719632381,2.1039083459155155
JRDKW,0.14669257547881395,1.3045702604736766
PY2PD,0.3014405939106448,1.1617591338988928
LWAK3,0.11932469894407172,1.1502595217191522
E7XBI,0.027600576445728327,1.099031097812595
THPQC,0.7105736945576273,0.9439539413046029
2YLIX,0.8027167552033023,1.5377541709632185
PVNK7,0.6844066913574639,1.420287505158752
5GXMW,0.741283889471076,0.721909901956392
